,Frame Iteration List,Step List,Episode List,Done List,Reward List,X Error List,X Mean Error List
0,0,0,0,False,-0.04073875214475634,9.149350808002055e-05,9.149350808002055e-05
1,1,1,0,False,-0.10407312911688299,0.0009085065394174308,0.0005000000237487257
2,2,2,0,False,-0.20134395854699907,0.001908506586914882,0.0009695022114707778
3,3,3,0,False,-0.300460893847928,0.0029085065179970115,0.0014542532881023362
4,4,4,0,False,-0.40002652157487534,0.003908506681909785,0.0019451039668638259
5,5,5,0,False,-0.4997683809546912,0.0049085063801612705,0.0024390043690800667
6,6,6,0,False,-0.5995974255835153,0.005908506544074044,0.002934647536936349
7,7,7,0,False,-0.6994758742523396,0.006908506707986817,0.0034313799333176576
8,8,8,0,False,-0.7993850239750584,0.00790850687189959,0.003928838482048984
9,9,9,0,False,-0.8993144588072522,0.008908506104489788,0.004426805244293064
10,10,10,0,False,-0.9992582024673377,0.009908506268402562,0.004925141701030291
11,11,11,0,True,-1001.0992122561886,0.010908506432315335,0.005423755428637378
12,12,12,0,True,-1001.1991740247586,0.011908506596228108,0.005922582441528972
13,13,13,0,True,-1001.2991417164299,0.012908506760140881,0.006421577035715538
14,14,14,0,True,-1001.3991140543586,0.013908506924053654,0.0069207056949380785
15,15,15,0,True,-1001.499090010947,0.014908506156643853,0.007419943223794689
16,16,16,0,True,-1001.599069165875,0.0159085072518792,0.007919270519564366
17,17,17,0,True,-1001.699050705587,0.016908507415791973,0.00841867256935479
18,18,18,0,True,-1001.799034122007,0.017908505717059597,0.008918137471865569
19,19,19,0,True,-1001.8990194603988,0.01890850588097237,0.009417655892320909
20,20,20,0,True,-1001.9990062730437,0.019908506044885144,0.009917220185300158
21,21,21,0,True,-1002.0989943484647,0.020908506208797917,0.010416824095459147
22,22,22,0,True,-1002.1989835137842,0.02190850637271069,0.010916462455339648
23,23,23,0,True,-1002.2989736263031,0.022908506536623463,0.011416130958726475
24,24,24,0,True,-1002.3989645671901,0.023908506700536236,0.011915825988398864
25,25,25,0,True,-1002.4989562366932,0.02490850686444901,0.012415544483631562
26,26,26,0,True,-1002.5989485504575,0.025908507028361782,0.01291528383714009
27,27,27,0,True,-1002.6989414366656,0.026908507192274556,0.013415041814109177
28,28,28,0,True,-1002.7989348337915,0.02790850735618733,0.01391481648797394
29,29,29,0,True,-1002.8989285025674,0.028908505657454953,0.014414606126956641
30,30,30,0,True,-1002.9989227695746,0.029908505821367726,0.014914409342905386
31,31,31,0,True,-1003.0989174085778,0.0309085059852805,0.015414224862979609
32,32,32,0,True,-1003.1989125708615,0.03190850801183842,0.01591405162506624
33,33,33,0,True,-1003.2989076669384,0.032908506313106045,0.016413888527655646
34,34,34,0,True,-1003.398903414734,0.03390850833966397,0.01691373480799874
35,35,35,0,True,-1003.4988990452308,0.03490850664093159,0.017413589581135765
36,36,36,0,True,-1003.5988949096206,0.035908504942199215,0.017913452158461803
